Gene	C1	C2	C3	C4	C5	P1	P2	P3	P4	P5
MUC1	4.6	2.65	2.64	3.59	3.49	7.59	11.57	2.91	1.73	2.18
MUC2	0	0	0.04	0.09	0.4	0.19	0.77	0.09	1	0
MUC4	0.04	0.37	0.12	0	0.84	0.32	4.46	0.92	0.38	0.12
MUC6	1.09	0.61	0.12	0.09	0.67	0.6	0.93	0.92	0.33	0
MUC7	0	0	0	0.13	0.11	0	0.19	0.07	0	0
TRIM37	41.85	57.24	57.5	49.62	54.23	52.16	61.23	59.82	46.34	37.76
MUSK	0.07	0	0	0	0	0	0	0.12	0	0
MUT	47.24	44.52	51.23	54.74	66.61	50.13	51.48	55.86	53.51	38.18
MUTYH	6.38	5.99	4.57	3.41	5.28	4.96	3.73	7.44	5.66	5.47
MVD	38.69	124.27	65.39	61.12	143.72	33.12	28.17	64.38	19.8	47.69
MVK	18.18	37.06	19.68	34.76	41.76	17.11	10.91	18.76	8.7	20.2
MX1	24.59	52.83	13.58	11.73	15.95	10.13	9.04	71.04	26.39	32.83
ASTN1	46.97	23.66	30.03	22.26	38.61	47.01	29.13	58.55	48.28	58.79
MX2	6.22	52.27	7.79	13.95	17.47	6.71	10.51	27.67	8.22	9.4
MXI1	39.8	73.12	28.36	47.17	40.07	44.29	37.41	41.36	54.6	40.07
MYB	1.54	1.02	2.02	2.4	0.91	0.94	3.96	3.23	5.19	4.67
MYBL1	1.67	5.03	2.62	11.19	4.84	2.24	6.14	7.08	4.01	4.17
MYBPC1	0	0	0.16	0	0	0	0.09	0.01	0.16	0
MYBL2	0.86	1.12	0.7	0.74	1.59	1.62	1.27	1.83	2.17	7.12
MYBPC2	0	0.21	0	0	0.01	0.19	0	0.04	0	0
MYBPC3	0.2	1.36	0.25	0.37	0.46	0.08	0.45	0.92	0.24	0.24
MYBPH	0	0.16	0	0	0.03	0	0.06	0	0	0
MYC	175.62	105.31	103.1	103.22	97.72	143.14	113.49	112.97	122.26	108.5
MYCL1	1.47	2.91	0.8	1.2	2.87	1.95	1.34	2.42	1.44	1.3
MYCN	0.3	0.43	0.16	0.89	0.32	0	0.03	0.46	0.31	0.28
MYD88	33.91	35.45	24.59	22.45	38.49	27.27	33.96	38.3	30.96	16.6
GADD45B	61.98	70	41.5	68.93	94.09	49.49	60.22	117.25	76.39	105.83
MYF5	0	0	0	0	0	0	0	0.01	0	0
MYH1	0	0	0	0	0.01	0	0	0.07	0.15	0
SERPINC1	1	0.61	0.08	0.14	0.17	1.05	0.31	0.29	0.22	0.9
MYH2	0.04	0	0	0	0	0	0	0.1	0	0
MYH3	0.59	1.23	1.11	0.66	0.65	0.9	1.7	1.42	0.93	0.3
MYH4	0	0	0	0	0.05	0	0	0.11	0	0
MYH6	0	0	0	0	0	0	0	0.07	0	0
MYH7	0	0	0	0	0	0	0	0.07	0.22	0
MYH8	0	0	0	0	0.06	0	0	0.09	0	0
MYH9	771.97	442.14	673.26	449.23	624.98	778.41	767.65	819.72	696.96	357.23
MYH10	83.33	86.09	78.89	60.84	69.92	88.95	86.12	86.3	73.06	55.6
MYH11	3.06	3.05	1.77	2	3.62	47.84	23.34	20.09	223.29	14.47
ZFHX3	205.16	50.88	47.03	87.73	125.84	141.67	197.8	140.11	116.39	53.78
MYL1	0	0	0	0	0	0	0.09	0	0	0
MYL2	0	0	0	0	0	0	0	0.04	0	0
MYL3	0.04	0.05	0.06	0.06	0	0	0.06	0.01	0	0.16
MYL4	0	2.27	0.1	0.03	0.16	0.19	0.25	0.14	0.07	0.18
MYL5	3.89	4.2	6.45	3.8	4.34	4.76	4.41	4.36	4.28	4.73
MYL6	704.9	744.5	1082.52	682.43	755.05	790.48	561.75	688.88	852.69	1006.37
MYLK	4.53	4.57	4.51	3.59	3.96	2.5	4.29	7.39	3.33	2.41
MYO1A	0	0.05	0	0.03	0.06	0	0.19	0.12	0.27	0
MYO1C	208.78	107.13	156.23	117.65	142.26	213.88	175.03	197.18	186.89	177.79
MYO1D	34.63	25.19	32.62	31.49	29.85	37.31	41.45	38.41	39.65	27.54
MYO1E	200.48	138.39	147.45	182.06	156.29	108.35	124.09	190.63	168.11	140.39
MYO5A	44.46	61.95	55.62	50.82	65.43	102.07	60.46	92.55	58.41	37.96
MYO5B	26.4	11.5	14.22	8.29	22.59	47.14	30.38	30.23	46.46	40.51
MYO6	78.82	68.5	85.11	72.18	87.21	95.96	111.24	94.12	104.15	46.62
MYO7A	4.5	3.53	1.59	2.97	4.32	3.95	3.18	5.01	2.4	3.31
MYO7B	1.34	0.7	0.08	0.07	0.43	0.19	0.66	1.49	0.26	0.2
MYO9A	183.34	194.21	167.15	189.29	208.64	202.35	209.05	210.74	211.83	167.29
MYO9B	211.97	149.19	117.82	143.08	140.61	150.11	161.21	171.86	122.54	112.61
MYO10	325.95	156.3	92.63	173.52	148.63	168.07	212.69	154.85	246.9	177.59
MYOC	0.11	0.05	0.12	0.09	0.11	0	0.06	0.19	0.14	0
MYOD1	0	0	0	0	0.04	0	0	0.06	0	0
MYOG	0	0.05	0	0	0	0	0	0	0	0.12
PPP1R12A	121.79	124.06	127.77	117.28	132.49	152.6	140.86	138.76	132.72	97.64
ATF1	18.45	17.24	17.68	19.53	19.23	16.65	17.59	15.87	21.27	14.93
PPP1R12B	147.96	113.47	146.17	117.33	253.04	373.16	220.13	271.53	477.56	179.9
MYT1	0.07	0	0.04	0.23	0.11	0	0.15	0.15	0	0.28
NAB1	48.8	50.4	70.21	57.85	78.91	66.37	73.56	78.43	80.59	57.99
NAB2	69.63	26.58	51.5	39.68	74.88	69.55	50.36	75.88	65.7	68.69
NACA	243.37	299.79	374.63	321.67	195.26	253.14	175.62	181.54	263.02	297.48
NAGA	34.23	36.52	27.97	29.68	43.94	19.94	24.42	44.72	27.15	29.14
NAGLU	49.6	34.44	33.41	30.49	33.29	38.42	23.6	38.89	31.1	45.88
ATF3	142.09	91.57	140.3	157.74	205.47	186.39	165.06	280.18	221.72	268.63
HNRNPM	75.56	44.06	69.8	43.45	59.2	72.48	76.94	69.29	63.94	27.92
NAIP	33.21	84.94	25.78	41.34	53.62	44.25	68.52	84.19	44.31	35.8
NAP1L1	149.66	133.15	160.43	147.18	136.76	189.46	206.24	167.99	202.6	141.97
NAP1L2	0.18	0.11	0.33	0.03	0.15	0	0.06	0.19	0	0
NAP1L3	7.11	8.93	17.48	8.47	8.78	20.71	13.22	10.42	15.39	15.82
NAP1L4	173.1	215.82	111.16	175.64	156.77	128.1	116.19	165.01	168.09	148.35
NARS	64.65	90.61	108.01	77.74	88.17	76.02	78.37	79.8	77.37	62.16
NASP	25.04	17.86	25.16	14.33	16.41	33.46	27.34	23.36	28.81	22.19
ATF4	384.35	362.12	321.9	353.75	418.87	282.75	223.89	361.54	324.1	488.34
CEACAM6	0	0.43	0.08	0	0.06	0	0	0.02	0	0
NBL1	0.3	0.8	0.31	0.84	0.49	1.54	0.76	0.86	0.6	1.06
NUBP1	19.11	18.34	14.76	17.69	16.98	17.93	15.21	14.98	16.98	24.09
NBN	35.13	69.22	52.08	57.04	50.6	58.74	49.51	48.43	54.54	39.03
NCAM1	39.41	42.32	92.1	40.45	54.22	37.59	50.76	100.99	65.44	56.24
NCAM2	0.86	3.24	3.38	2.16	1.72	3.61	2.5	2.37	1.86	0.56
NCBP1	58.72	69.76	71.53	71.31	84.36	67.59	69.26	79.17	82.23	47.69
NCF2	7.45	100.45	13.31	20.92	45.3	18.25	16.25	52.85	11.46	22.17
NCF4	2.38	20.11	2.08	4.97	8.72	3.74	2.9	12.4	2.15	6.11
NCK1	7.61	13.69	17.06	12.87	10.27	11.11	11.46	9.99	11.94	9.04
NCL	194.75	130.23	222.59	105.7	166.8	163.63	266.81	143.6	138	59.23
NDN	59.9	54.27	48.84	51.65	53.26	35.08	29.61	53.09	45.51	68.97
NDP	2.49	1.63	5.81	1.36	5.61	14.98	7.58	10.58	25.66	10.96
NDUFA1	47.08	69.35	71.67	53.35	39.09	45.62	29.37	30.25	53.67	70.8
NDUFA2	29.57	41.6	40.64	35.46	29.98	29.27	20.07	33.66	32.41	53.56
NDUFA3	18.38	22.14	17.78	15.09	12.81	15.71	12.88	13.44	17.06	31.67
NDUFA4	53.58	83.9	82.84	83.49	85.7	60	33.08	73.41	75.94	107.06
NDUFA5	17.57	26.71	37.51	28.43	19.98	26.79	25.05	16.66	26.27	23.75
ACLY	171.59	339.55	218.18	256.54	315.88	175.87	150.65	216.1	144.86	119.58
NDUFA6	38.44	49.76	50.86	54.21	54.67	36.41	31.09	41.21	43.85	56.42
NDUFA7	31.51	35.1	28.48	27.42	30.56	22.54	19.66	25.35	25.73	44.86
NDUFA8	13.13	12.78	17.78	9.37	12.25	11.62	10.24	10.82	11.16	9.68
NEB	2.74	7.78	6.33	4.8	7.98	6.77	11.17	4.63	6.56	4.29
NDUFA9	32.75	38.02	52.55	45.09	48.34	32.76	28.02	35.38	34.44	41.87
NDUFA10	59.53	57.54	63.91	66.74	71.51	66.13	62.07	66.69	70.62	65.57
NDUFAB1	15.41	21.74	29.04	22.6	14.49	14.7	12.25	12.45	18.86	21.33
NDUFB1	5.43	9.97	13.85	10.37	8.1	9.96	4.58	8.17	9	13.27
NDUFB2	21.32	29.49	39.2	23.38	32.41	21.13	17.54	28.46	21	31.17
NDUFB3	25.04	35.02	43.44	34.88	25.22	27.16	21.69	19.33	26.56	31.77
ATIC	25.01	21.39	33.03	19.25	24.27	26.99	27.21	17.91	22.42	6.73
NDUFB4	26.19	28.05	26.32	31.42	20.19	25.75	17.56	18.06	25.05	38.04
NDUFB5	28.16	39.28	46.45	41.46	45.42	33.44	33.17	42.62	39.51	44.08
NDUFB6	9.83	11.23	15.37	10.56	8.55	9.4	6.23	8.01	12.59	16.1
NDUFB7	52.4	57.46	52.04	40.08	60.62	55.85	28.11	54.08	47.71	72.04
NDUFB8	57.41	65.69	71.76	54.18	56.12	54.21	36.22	50.69	45.4	82.28
NDUFB9	43.48	47.99	62.87	51.99	48.61	39.25	29.19	41.18	41.81	38.63
NDUFB10	36.04	38.15	34.02	37.74	27.42	25.53	22.82	26.27	32.61	44.86
NDUFC1	29.93	34.46	31.59	34.36	28.04	29.7	19.76	22.62	29.31	42.09
NDUFC2	17.41	15.29	19.82	19.7	26.58	12.76	13.45	23.07	14.8	17.78
NDUFS1	95.07	120.21	155.55	124.52	155.54	125.26	96.12	136.77	114.65	119.18
ATM	80.93	153.65	113.53	136.74	134.75	108.67	125.46	132.77	114.52	105.35
NDUFS2	62.16	71.07	73.49	56.01	72.6	84.94	60.22	76.17	62.57	52.02
NDUFS3	24.58	25.8	28.52	23.02	27.49	20.19	13.3	24.33	17.51	24.25
NDUFV1	105.13	71.97	79.67	93.47	114.48	82.67	62.39	122.18	79.18	124.03
NDUFS4	21.67	29.76	46.12	33.48	28.03	30.43	16.85	28.05	29.2	33.79
NDUFS5	102.64	126.92	109.63	163.71	154.75	93.12	71.63	98.3	61.76	197.26
NDUFS6	14.72	17.54	21.37	10.52	9.04	16.6	10.74	10.96	11.88	14.19
NDUFS8	125.39	97.27	68.13	93.22	106.14	83.99	45.37	74.47	69.52	111.35
NDUFV2	48.54	71.09	86.99	75.13	59.86	63.7	45.84	55.26	56.41	63.94
RERE	261.91	211.32	102.83	193.59	205.87	126.81	233.3	215.71	164.71	111.43
NDUFV3	22.32	26.68	21.99	22.99	25.12	26.35	23.84	25.77	23.6	23.25
DRG1	21.8	20.35	36.46	27.32	24.12	27.09	19.45	22.02	24.98	23.99
NEDD4	31.15	40.88	81.79	57.3	58.1	53.27	43.06	58.8	53.7	45.18
SEPT2	304.15	376.29	362.66	416.4	414.41	300.4	340.93	351.51	320.43	253.86
RPL10A	253.97	364.66	394.54	349.97	391.01	308.22	201.77	299.46	347.97	375.95
NEDD8	36.38	56.84	75.82	58.57	64.83	47.43	26.6	57.45	45.15	63.9
NEDD9	131.21	66.87	114.25	119.76	115.32	80.6	94.53	126.46	86.62	60.37
ATOH1	0	0	0.02	0	0	0	0	0.09	0	0
NEFM	0.13	0.11	0	0.17	0.27	0.28	0.09	0.16	0	0
LRRC37A2	6.91	4.87	4.82	9.59	8.01	8.72	12.7	13.17	8.47	3.11
SUMO1P3	5.21	5.69	3.26	7.03	5.4	5.36	8.82	6.78	5.35	2.75
SPIN2B	1.22	1.1	1.61	1.11	1.96	2.11	1.48	1.54	1.06	1.36
GIMAP6	0.72	7.11	0.58	3.44	3.35	2.2	2.72	5.11	1	2.85
LRRC18	0.36	0.75	0	0.09	0.11	0	0.12	0.45	0	0
H2AFB1	0	0	0.04	0	0.02	0	0	0	0	0
NEFH	14.26	11.52	9.13	7.67	11.12	12.59	10.54	12.61	11.4	7.08
NELL1	0	0	0.04	0	0.09	0	0	0.1	0	0
NEFL	0	0	0.08	0	0.07	0	0	0.05	0	0.28
ATOX1	26.22	26.84	26.67	27.55	29.88	23.14	16.94	30.44	19.19	29.34
NEK1	18.72	25.37	25.66	20.8	20.42	26.88	32.2	27.13	28.58	18.88
NEK2	2.2	1.26	0.93	0.84	1.82	1.37	1.31	2.92	1.49	2.45
NEK3	13.92	11.68	10.2	12.87	12.34	14.04	19.18	16.37	21.02	19.76
NELL2	48.85	35.83	38.27	34.93	63.5	149.85	92.75	77.34	131.93	80.6
NEO1	66.91	41.82	33.2	58.11	37.86	60.17	74.44	80.08	58.1	48.39
NEU1	54.01	64.22	61.78	52.07	94.38	44.23	36.81	75.56	38.93	65.59
NEU2	0	0	0	0	0	0	0.12	0.02	0	0
ATP1A1	1930.06	1207.92	2034.94	1186.45	1342.06	2019.2	1474.96	1341.32	1298.66	860.32
NEUROD1	0	0	0	0	0	0	0.15	0.11	0	0
NEUROD2	0.25	0	0.33	0	0.06	0.15	0.22	0.19	0.22	0
NF1	196.42	193.54	201.44	184.75	228.97	231.43	234.41	236.26	204.23	122.11
ATP1A2	0.48	0.13	0.33	0.2	0.42	0.6	0.15	0.32	0.3	0.26
NF2	85.34	84.51	70.95	72.26	90.91	91.3	74.21	106.49	73.37	73.16
NFATC1	7.06	2.89	2.16	3.03	5.02	5.58	4.49	7.55	8.03	3.53
NFATC2	56.44	8.85	20.67	25.18	40.34	16.99	18.31	27.12	54.77	13.01
NFIA	8.44	12.51	7.44	11.44	10.5	9	10.58	11.51	8.66	4.79
NFATC3	37.92	52.94	32.25	40.89	46.82	39.32	40.51	51.39	44.92	51.94
NFATC4	44.08	19.62	14.01	26.45	30.32	26.37	22.26	32.89	18.49	25.42
NFE2	0.3	13.8	0.76	1.6	1.09	0.98	1.03	2.14	1.46	2.29
NFE2L1	164.55	108.09	107.92	108.62	119.37	144.95	140.38	133.41	181.09	144.64
ATP1A3	0.04	0.08	0.25	0.2	0.1	0.08	0.03	0.15	0.41	0.16
NFE2L2	158.12	160.31	121.5	155.5	170.68	169.63	173.09	187.51	193.48	110.73
NFIB	4.78	12.46	18.38	16.06	8.4	14.93	12.25	9.5	9.58	3.61
NFIC	217.04	117.27	87.32	110.89	142.35	232.56	243.47	165.94	136.27	59.73
NFIL3	107.8	102.03	103.93	98.25	127.39	114.48	90.33	146.36	149.87	84.89
NFIX	12.04	14.3	5.15	8.67	6.54	9.98	14.97	10.01	7.09	5.01
ATP12A	0	0	0	0.06	0.09	0	0.03	0.01	0	0
NFKB1	54.56	44.22	50.41	52.01	54.44	51.22	52.83	54.46	48.74	41.23
NFKB2	41.34	25.03	24.03	23.86	32.13	31.96	31.04	33.25	28.2	24.96
NFKBIA	335.59	230.71	218.9	242.23	282.75	250.02	319.99	347.49	274.56	308.12
NFKBIB	20.26	12.43	11.23	14.35	23.11	16.97	14.95	23.02	12.55	15.84
NFKBIE	9.83	4.95	8.74	7.44	10.31	7.18	7.17	10.6	6.45	7.02
NFKBIL1	10.93	10.67	7.42	8.62	7.71	8.78	7.3	12.17	9.32	18.28
TONSL	5.52	3.77	2.84	2.49	3.85	4.44	4.01	6.7	4.13	4.19
NFRKB	25.87	25.67	18.32	22.79	27.88	23.08	23.71	31.61	29.5	23.27
NFX1	33.25	35.37	33.08	31.62	38.42	42.84	43.11	40.2	33.62	19.06
ACO1	62.7	85.21	64.56	88.59	83.82	54.46	51.38	63.71	48.11	56.61
ATP1A4	0.57	0.08	1.05	0.89	0.68	1.07	0.85	0.84	0.38	0.76
NFYA	35.67	32.54	32.33	24.85	40.34	36.5	35.39	49.4	40.5	26.18
NFYB	16.03	20.93	25.97	24.26	16.29	22.35	22.99	15.86	27.74	22.83
NFYC	24.94	24.92	16.63	20.62	26.81	29.38	26.57	29.75	25.2	27
NGF	0	0.16	0	0	0	0	0	0.02	0	0
NGFR	0.11	0.32	0.23	0.03	0.1	0.19	0.22	0.2	0.03	0.2
NHLH1	0.82	0.11	0.08	0	0.19	0.08	0.28	0.22	0.05	0.14
NHLH2	0	0.21	0	0	0.11	0	0.06	0.06	0	0
NHP2L1	44.57	46.98	54.73	42.16	52.07	37.18	30.41	44.36	46.6	59.57
ATP1B1	49.76	36.33	48.02	33.59	28.43	39.72	46.11	20.78	35.35	31.83
NHS	6.75	9.3	15.89	9.22	11.75	19.3	15.55	17.23	10.81	5.31
NID1	24.79	12.49	9.97	12.59	15.62	7.18	19.52	26.36	16.14	9.88
NINJ1	6.48	12.89	5.71	8.84	9.86	6.54	7.82	9.85	6.76	8.06
NINJ2	0.07	1.71	0.29	0.33	0.82	0.26	0.26	0.61	0.16	1.16
NIT1	18.02	16.2	12.3	11.8	14.29	14.38	15.24	17.53	15.88	14.75
NKG7	0.57	5.72	0.97	4.33	2.43	0.68	2.05	3.86	1.26	1.02
ATP1B2	1.76	1.98	1.07	1.37	2.08	0.96	1.7	2.16	1.52	0.58
NKTR	114.04	125.21	118.91	119.61	114.27	128.39	195.58	162.62	133.52	69.31
NKX2-2	0	0	0	0	0.04	0	0	0.09	0	0
NKX3-1	10.84	5.48	9.95	7.14	12.15	7.88	5.46	12.74	8.33	3.21
NKX6-1	0.04	0	0.12	0.09	0.02	0	0	0.07	0.19	0
NNAT	1.9	0.67	1.09	0.81	1.83	1	1.99	3.18	2.02	1.44
NMB	4.23	3.61	4.9	3.57	5.53	3.78	2.13	4.47	3.79	2.35
NMBR	0	0	0	0	0.02	0	0	0.07	0	0.12
ATP1B3	39.73	46.39	53.58	53.21	41.55	32.03	36.69	52.7	32.95	30.97
NME1	32.71	39.01	57.02	42.54	44.9	29.83	23.2	32.21	30.77	33.77
NME2	9.3	16.34	17.52	9.74	16.32	10.77	6.56	16.91	10.57	14.17
NME3	16.73	15.64	13.93	11.84	20.06	9.92	6.76	18.5	10.72	22.67
NME4	96.73	85.98	51.79	60.98	56.91	46.56	47.69	50.27	42.25	93.19
NQO2	5.16	12.19	13.21	12.26	10.59	5.23	5.94	7.9	5.56	12.41
NMT1	93.35	96.97	82.47	87.44	105.57	90.17	82.88	99.31	80.71	85.97
NNMT	18.54	8.66	12.51	12.73	9.99	38.82	31.32	25.91	33.14	15.21
NODAL	3.39	3.69	2.91	1.34	2.78	5.06	4.38	3.22	3.56	1.24
NOP2	37.3	31.9	33.26	25.6	31.83	42.44	40	37.14	32.49	26.38
NONO	274.39	218.33	226.75	231.85	280.64	349.67	291.51	336.73	329.7	278.66
NOS1	0.04	0.21	0.08	0.14	0.31	0.13	0	0.29	0.14	0.16
NOS2	1.88	1.6	0.41	0.8	1.5	5.53	2.16	6.5	11.5	15.39
NOS3	0.57	0.94	0	0.43	0.24	0.34	0.77	1.02	0.14	0.92
CNOT2	65.65	80.66	77.18	84.79	91.71	79.49	59.17	82.22	80.29	70.82
CNOT3	30.36	19.87	12.82	19.93	21.03	28.38	35.81	22.38	21.15	17
CNOT4	32.82	30.77	24.75	28.43	26.36	32.78	32.69	22.59	30.93	18.36
NOTCH1	6.13	39.09	3.61	7.79	9.75	5.92	7.48	18.04	5.92	9.4
NPY	0.18	0.48	0.33	0.56	0.27	0	0.31	0.27	0.35	0.32
NOTCH2	460.87	374.2	349.2	469.49	570.86	421.36	446.58	743.26	502.76	352.08
NOTCH3	5.86	2.89	2.16	1.87	5.35	5.79	6.14	8.38	4.35	2.49
NOTCH4	1.52	1.63	0.84	0.74	1.46	2.95	1.56	2.43	2.3	1.26
NOV	0.2	0.37	1.03	0.19	0.53	0.11	0.03	0.42	0.11	0.2
NOVA1	8.78	10.03	9.99	8.37	10.05	8.76	13.28	9.6	8.6	5.71
NOVA2	0.11	0.21	0	0	0.24	0.53	0.48	0.12	0.33	0
FXYD2	0	0	0	0	0.04	0	0	0	0	0.04
PNP	27.51	36.17	33.49	35.79	51.47	32.11	19.44	42.39	28.22	21.77
NPAS1	1.22	0.32	1.15	0.36	0.61	1.09	0.59	1.23	0.62	1.14
NPAS2	120.66	83.6	69.14	142.65	107.93	46.82	87.88	101.99	57.48	55.6
NPAT	21.03	30.61	26.81	26.53	33.4	30.94	29.96	31.14	39.73	27.68
NPC1	75.74	68.07	105.76	76.88	143.77	98.33	96.01	129.47	94.78	38.73
NPHP1	5	4.84	5.5	4.04	4.33	4.74	5.23	4.77	5.38	3.91
NPHS1	0.99	0.19	0.66	0.24	0.84	0.6	0.99	1.32	0.23	0.2
NPM1	342.27	502.64	620.18	525.26	397.31	389.37	343.32	333.75	441.95	387.78
ATP2A1	3.13	0.83	1.15	0.67	0.87	1.82	2.95	1.25	0.76	0.08
NPPA	0.72	0.37	0.39	0.1	0.57	1.48	1.57	0.82	1.1	0
NPPB	0.45	0.16	0.27	0.3	0.33	0.06	0.09	0.2	0.15	0
ATP2A2	402.28	265.38	343.86	304.11	353.43	343.31	377.23	374.02	325.81	213.49
NPPC	0.23	0.59	0	0.57	0.37	0.38	0.09	0.21	0.51	0.1
NPR1	0.54	0.56	0.95	0.41	0.43	0.6	0.68	2.51	0.27	0.36
NPR2	24.22	17.33	15.54	18.4	20.29	24.27	21.4	24.38	22.33	11.16
NPR3	103.65	295.54	132.82	310.7	145.72	212.97	286.39	290.86	499.21	248.87
NPTX1	0.14	0	0	0.17	0.25	0.53	0.08	0.61	0.54	0.08
NPTX2	192.58	89.54	313.51	185.75	221.4	627.85	250.55	288.61	350.9	253.66
NPY1R	1.31	2.73	7.73	3.97	2.69	1.6	3.73	2.98	1.02	7.36
NPY2R	12.88	8.82	12.96	7.9	16.88	48.29	24.33	29.46	19.77	20.41
NPY6R	0.75	0.32	0.12	0.49	0.26	1	0.96	0.57	0.19	0
NPY5R	0.04	0.48	0.43	0.26	0.56	0.49	1.25	0.76	0.27	1.64
ATP2A3	2.83	15.05	3.44	7.04	7.49	2.97	4.66	10.3	2.03	3.65
SLC11A2	22.21	37.72	29.86	26.9	36.23	20.06	31.7	30.68	26.85	23.81
NRAP	0	0	0	0	0	0	0	0.11	0	0
NRAS	91.82	108.23	123.48	123.65	131.72	104.74	117.08	121.3	139.8	97.36
NRCAM	27.62	32.38	47.25	43.55	70.88	29.34	57.89	32.74	13.4	12.47
NRD1	153.07	173.92	181.84	163.47	215.64	175.74	182.71	190.57	147.96	92.34
NRF1	11.77	9.57	9.77	8.62	11.54	13.33	12	14.1	9.08	5.97
ACR	0.14	0	0.16	0	0.21	0	0.03	0.07	0	0
ATP2B1	181.19	215.17	346.34	269.86	287.42	281.04	208.72	236.27	156.89	136.66
NRGN	0.82	2.35	0.64	0.83	0.42	1.07	2.39	1.57	0.05	0.28
NRL	1.36	1.82	1.42	1.37	2.39	1.99	1.51	2.27	2.05	1.6
NRTN	0	0	0	0	0.02	0.08	0.05	0.01	0	0
YBX1	450.91	429.25	408.31	427.23	357.96	442.17	365.43	351.44	400.78	490.67
NSF	28.36	39.04	39.79	50.31	48.76	43.35	37.4	52	32.75	30.65
NT5E	0.99	1.76	1.77	1.14	1.92	0.7	2.16	1.69	2.07	1.36
NTF3	0	0	0	0.03	0.01	0	0	0	0	0
NTF4	0	0	0	0	0	0	0	0.04	0	0
ATP2B2	0.05	0.03	0.04	0	0.12	0.45	0.39	0.43	0.35	0
NTHL1	1.9	3.56	1.36	1.64	2.75	1.41	1.14	2.77	2.11	4.01
NTRK1	0	0.08	0.25	0.17	0.06	0	0.03	0.1	0	0
NTRK2	0.36	2.33	1.34	1.54	1.72	2.01	2.44	2.5	1.67	2.04
NTRK3	0	0.11	0	0	0	0	0	0.05	0	0
NTN3	0.29	0.11	0.02	0	0.04	0.34	0.15	0.1	0	0
ROR1	27.62	18.88	34.42	33.81	39.7	50	26.78	21.81	16.35	8.28
ATP2B3	0.32	0	0	0.17	0.19	0.11	0.39	0.15	0	0.24
ROR2	0.21	0.03	0.62	0.46	0.51	0.51	0.6	1.12	0.27	0.2
DDR2	66.51	49.44	69.68	42.18	64.71	107.65	79.1	75.68	50.67	47.75
NTS	57.41	160.9	272.42	154.73	138.04	120.68	75.37	116.5	55.27	98.04
NTSR1	0.36	0.67	0	0.41	0.13	0.11	0.15	1.8	0.19	0
GEMIN8P4	0.75	0.64	0.54	0.47	0.54	1.33	0.28	0.51	0.54	0.7
C8orf22	0	0	0	0	0	0	0	0.01	0.01	0
C5orf53	2.81	4.44	3.89	3.14	3.6	4.14	4.49	4.86	3.22	2.43
NUCB1	216.79	178.09	152.07	165.4	158.71	163.14	154.51	168.77	158.78	189.3
NUCB2	29.43	38.07	46.22	33.66	38.32	24.46	31.55	31.58	20.88	18.32
NUMA1	222.41	174.37	125.54	130.89	175.91	242.73	237.56	239.2	241.71	186.61
NUP88	33.01	38.23	40.12	38.78	47.08	41	30.56	37.04	43.67	35.74
NUP98	281.97	228.52	198.54	256	288.14	197.09	237.57	278.7	269.84	190.38
NR4A2	22.43	33.23	13.52	33.86	16.3	33.95	37.44	35.58	26.19	26.08
ATP2B4	456.54	462.35	640.6	530	810.74	1043.81	815.52	636.2	668.16	265.65
NVL	15.49	16.87	19.91	18.92	17	17.24	18.45	16.56	15.81	11.29
GPR143	2.49	2.25	1.63	2.66	2.36	3.29	1.7	3.01	2.68	3.05
COA5	13.94	20.53	18.84	20.53	17.6	12.99	13.18	16.66	12.68	17.1
LOC493754	30.49	14.41	18.98	22.95	20.99	27.05	27.35	33.25	25.69	15.73
OAS1	2.36	14.57	2.31	2.57	4.13	3.87	4.13	9.32	4.63	5.89
HCG11	7.31	8.21	7.79	6.6	6.7	7.03	8.82	9.39	6.46	4.21
TRIM72	0.75	0.27	0.19	0.21	0.17	0.47	0.59	0.4	0.23	0
CISD2	13.76	22.35	19.64	19.77	21.48	15.11	14.24	17.82	15.47	15.79
CCDC73	2.06	2.33	2.82	2.47	1.75	2.41	1.53	2.11	1.82	2.1
EID3	37.51	21.39	41.01	40.88	22.41	45.38	52.16	27.81	29.5	19.46
GPX8	10.59	12.35	11.77	10.59	9.36	8.74	12.94	13.42	15.55	8.78
OAS2	6	32.56	4.14	7.99	12.98	9.3	9.57	23.07	3.21	9.14
C11orf18	4.08	1.9	1.11	1.84	2.36	1.6	2.68	3.03	2.98	1.84
PHOSPHO2	1.2	0.99	1.3	2.13	1.42	1.48	0.93	1.39	2.19	1.72
OAS3	26.6	89.78	21.1	29.96	36.48	28.8	26.46	37.4	25.3	29.93
RBMXL1	64.95	85.8	80.54	84.84	85.46	81.81	74.92	78.12	86.08	72.02
SPANXN2	0	0	0	0.03	0.01	0	0.03	0.12	0	0
LOC494141	0.79	0.27	0.82	1.26	0.79	0.49	0.46	0.88	0.54	0.56
CHAC2	0.84	0.8	1.11	1.33	2.07	1.11	1.27	1.53	2.34	0.8
FBXO47	0	0.16	0	0	0.03	0.23	0.09	0.01	0	0
SPANXN5	0	0	0	0	0	0	0	0.05	0	0
OAT	32.64	45.69	42.12	44.15	47.72	32.82	28.8	44.05	44.37	47.47
TBC1D25	24.86	12.94	19.33	10.46	14.21	22.44	22.22	16.19	14.57	10.06
MIR423	0.05	0	0	0	0.02	0	0	0.01	0.01	0
